Investor name,Investor type,Countries of investment,Global HQ,Technology focus,First Cheque,Stages of investment,Investment thesis,LinkedIn,Website,linkedin-private-codex
Oxford Angel Fund,VC,USA,"Palo Alto, CA 94301, US","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware,🔬 Deep Tech,💊 Therapeutics",$50k to $100k,"3. Early Revenue,2. Prototype,4. Scaling",We invest in US-based companies founded by founders affiliated with the University of Oxford,https://www.linkedin.com/company/oxford-angel-fund/,https://www.oxfordangelfund.com,
G20 Ventures,VC,USA,"500 Boylston Street, Boston MA 02116","💻 Software,⚙️ Enterprise hardware",$2M to $6M,"3. Early Revenue,4. Scaling","We invest in East Coast enterprise tech startups, backed by more than 20 of the Northeast's most accomplished entrepreneurs.  We look for great teams in love with big problems, at or approaching the inflection point of customer validation. Our focus is on early-stage, East Coast, and enterprise software. We prefer technology risk to market risk, and don't invest in 100% consumer-facing businesses.  We get that great teams are built over time, but typically look for a core team that includes a technologist with experience building what they’re building now, and a business person who really understands the buyer and how to reach them. We like to see a product in market, and add the most value to businesses looking to scale their go-to-market model.   Our sweet spot is $2-5 million in Series A. We reserve capital for every deal we do, we want to be with you all the way.",https://www.linkedin.com/company/g20-ventures,https://www.g20vc.com/,
Isai,VC,France,"8 Avenue Kléber, 75116 Paris, FR","🔬 Deep Tech,💻 Software",$100k to $3M,"3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent","We invest in digital startups (B2C & B2B) with at least one French founder in Europe and in the US, from Pre-Seed to Series-A",https://www.linkedin.com/company/isai-gestion/,http://www.isai.vc/,
Kalaari Capital,VC,India,"Navigator Building, ITPL, Whitefield, Bangalore 560066, Karnataka, India","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🌡 Medical hardware,🔬 Deep Tech,💊 Therapeutics",$300k to $5M,"1. Idea or Patent,3. Early Revenue,2. Prototype,4. Scaling,5. Growth",We invest in startups building for the Indian market or building in India for the global markets,https://www.linkedin.com/company/kalaari-capital/,https://www.kalaari.com/,
HoriZen Capital,PE fund,"Canada,USA,UK,Germany,France","Edmonton, Alberta CA",💻 Software,$500k to $5M,"4. Scaling,5. Growth",We Invest in B2B SaaS companies between $1m and $5m in ARR,https://www.linkedin.com/company/horizen-capital/,https://horizencapital.com/,
Starquest Capital,VC,France,"11 rue Royale, Paris, Ile-de-France 75008, FR","🔬 Deep Tech,💻 Software,⚙️ Enterprise hardware",$1M to $10M,"3. Early Revenue,4. Scaling,5. Growth","We invest in French companies in Cleantech, Industry, Cybersecurity.",https://www.linkedin.com/company/starquest-capital,http://www.starquest-capital.com/,
Petri,VC,"USA,UK,Japan,Israel,Canada,Mexico,Brazil,France,Germany,China","207 South St, Floor 5,  Boston, MA 02111, United States","💊 Therapeutics,🔬 Deep Tech,🌡 Medical hardware",$200k to $500k,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in startups at the intersection of biology and tech, applied to planetary and human health.",https://www.linkedin.com/company/petribio,https://petri.bio,
Nationwide Ventures,Corporate VC,"USA,Israel","1 Nationwide Plaza, Columbus, OH 43215, United States",💻 Software,$1M to $10M,"3. Early Revenue,4. Scaling,5. Growth",We invest in founders and startups that are shaping the future of insurance and financial services. We bring the assets and values of our Fortune 100 mutual parent company to the startup community. Typical investment is Series A/B with roughly $1M in revenue. Strategic fit preferred.,https://www.linkedin.com/company/nationwide/,https://www.nationwide.com/cps/nw-ventures.html,
Verve Ventures,VC,"France,Germany,Switzerland","Brandschenkestrasse 90, Zürich, Switzerland","💻 Software,⚙️ Enterprise hardware,🔬 Deep Tech,🌡 Medical hardware,💊 Therapeutics",$300k to $3M,"2. Prototype,3. Early Revenue,4. Scaling","We invest in medtech, llife sciences, and SaaS enterprise  - 50% of portfolio in Medtech / Lifescience  - 1/3 of portfolio in SaaS enterprise - Minority-stake investor",https://www.linkedin.com/company/verveventures/,https://verve.vc,
Point Nine Capital,VC,"Australia,Austria,Armenia,Belgium,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Germany,Canada,Denmark,Greece,Hungary,Ireland,Israel,Italy,France,Latvia,Lithuania,Netherlands,USA,UK,Turkey,Switzerland,Sweden,Slovakia,Spain,Poland","Chausseestrasse 19, 10115 Berlin, Germany","💻 Software,🔬 Deep Tech",$500k to $3M,"2. Prototype,3. Early Revenue","We invest in B2B SaaS and B2B marketplaces at the seed stage. Occasionally we make pre-seed, „Seed II“, or „early Series A“ investments. Our initial ticket size is €0.5-€3 million. If you raise a seed round from us, we commit to participating in your Series A. We’re geo-agnostic. Europe is our home market, but about 40% of our investments are in the US, Canada, and other countries.",https://www.linkedin.com/company/point-nine-capital,https://www.pointnine.com/,
Make Studios,VC,USA,"925 N La Brea Ave, 4th Floor, Los Angeles, California 90038, US",💻 Software,$25k to $75k,"1. Idea or Patent,2. Prototype","We invest in idea-stage startups and bring them from 0 to revenue within 6 months. Focused on B2B SaaS solutions.   We mainly look at the problem you are trying to solve and at the founder-product fit, not the idea itself.",https://www.linkedin.com/company/makeitstartupstudio,https://makestudios.co/,
Shareline,Angel network,"UK,Ireland,France,Germany,USA,Canada,Sweden,Estonia,Italy,Spain,Israel","Inniscarra Main Street, Rathcoole Co. Dublin, Ireland","💻 Software,🔬 Deep Tech",$500k to $10M,"5. Growth,6. Pre-IPO",We invest in global private technology leaders (series C+ to pre-IPO) and provide liquidity to early shareholders and employees or fund the allocation of early investor in late-stage rounds.,https://www.linkedin.com/company/shareline,https://shareline.co/,
Cottonwood Technology Fund,VC,"Netherlands,Germany,Belgium,Finland,Sweden,Denmark,Switzerland,USA","Hengelosestraat 541 7521AG, Enschede Nederland","🌡 Medical hardware,🔬 Deep Tech,⚙️ Enterprise hardware",$500k to $3M,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in hard science at pre-seed, seed, and early-stage. We fund IP-driven companies that provide Key Enabling Technologies (Photonics / Optics, Micro- & Nanoelectronics, Advanced Materials & Nanotechnology, Medical Technology, Cleantech / Energy Transition, Advanced Manufacturing & Robotics).",https://www.linkedin.com/company/cottonwood-technology-fund/,https://www.cottonwood.vc/,
Id4 Ventures,VC,"France,UK,Germany,Estonia,Latvia,Lithuania,Norway,Spain,Italy,Finland,Denmark,Sweden,Switzerland,Romania,Croatia,Serbia,Poland,Netherlands,Belgium,Ireland,Austria,Portugal,Czech Republic","Paris, France","💻 Software,🔬 Deep Tech",$50k to $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest from Angel to seed fund in Europe. We love saas, marketplaces & traditional industries disruption",https://www.linkedin.com/company/id4ventures/,https://www.id4.vc/,
